year,constructor,value,name
1958,6,4,Ferrari
1958,87,4,Cooper
1958,118,3,Vanwall
1958,1,0,McLaren
1958,2,0,BMW Sauber
1958,3,0,Williams
1958,4,0,Renault
1958,5,0,Toro Rosso
1958,7,0,Toyota
1958,8,0,Super Aguri
1958,9,0,Red Bull
1958,10,0,Force India
1958,11,0,Honda
1958,12,0,Spyker
1958,13,0,MF1
1958,14,0,Spyker MF1
1958,15,0,Sauber
1958,16,0,BAR
1958,17,0,Jordan
1958,18,0,Minardi
1958,19,0,Jaguar
1958,20,0,Prost
1958,21,0,Arrows
1958,22,0,Benetton
1958,23,0,Brawn
1958,24,0,Stewart
1958,25,0,Tyrrell
1958,26,0,Lola
1958,27,0,Ligier
1958,28,0,Forti
1958,29,0,Footwork
1958,30,0,Pacific
1958,31,0,Simtek
1958,32,0,Team Lotus
1958,33,0,Larrousse
1958,34,0,Brabham
1958,35,0,Dallara
1958,36,0,Fondmetal
1958,37,0,March
1958,38,0,Andrea Moda
1958,39,0,AGS
1958,40,0,Lambo
1958,41,0,Leyton House
1958,42,0,Coloni
1958,43,0,
1958,44,0,Euro Brun
1958,45,0,Osella
1958,46,0,Onyx
1958,47,0,Life
1958,48,0,Rial
1958,49,0,Zakspeed
1958,50,0,RAM
1958,51,0,Alfa Romeo
1958,52,0,Spirit
1958,53,0,Toleman
1958,54,0,ATS
1958,55,0,Theodore
1958,56,0,Fittipaldi
1958,57,0,Ensign
1958,58,0,Shadow
1958,59,0,Wolf
1958,60,0,Merzario
1958,61,0,Kauhsen
1958,62,0,Rebaque
1958,63,0,Surtees
1958,64,0,Hesketh
1958,65,0,Martini
1958,66,0,BRM
1958,67,0,Penske
1958,68,0,LEC
1958,69,0,McGuire
1958,70,0,Boro
1958,71,0,Apollon
1958,72,0,Kojima
1958,73,0,Parnelli
1958,74,0,Maki
1958,75,0,Embassy Hill
1958,76,0,Lyncar
1958,77,0,Trojan
1958,78,0,Amon
1958,79,0,Token
1958,80,0,Iso Marlboro
1958,81,0,Tecno
1958,82,0,Matra
1958,83,0,Politoys
1958,84,0,Connew
1958,85,0,Bellasi
1958,86,0,De Tomaso
1958,88,0,Eagle
1958,89,0,LDS
1958,90,0,Protos
1958,91,0,Shannon
1958,92,0,Scirocco
1958,93,0,RE
1958,94,0,BRP
1958,95,0,Porsche
1958,96,0,Derrington
1958,97,0,Gilby
1958,98,0,Stebro
1958,99,0,Emeryson
1958,100,0,ENB
1958,101,0,JBW
1958,102,0,Ferguson
1958,103,0,MBM
1958,104,0,Behra-Porsche
1958,105,0,Maserati
1958,106,0,Scarab
1958,107,0,Watson
1958,108,0,Epperly
1958,109,0,Phillips
1958,110,0,Lesovsky
1958,111,0,Trevis
1958,112,0,Meskowski
1958,113,0,Kurtis Kraft
1958,114,0,Kuzma
1958,115,0,Christensen
1958,116,0,Ewing
1958,117,0,Aston Martin
1958,119,0,Moore
1958,120,0,Dunn
1958,121,0,Elder
1958,122,0,Sutton
1958,123,0,Fry
1958,124,0,Tec-Mec
1958,125,0,Connaught
1958,126,0,Alta
1958,127,0,OSCA
1958,128,0,Gordini
1958,129,0,Stevens
1958,130,0,Bugatti
1958,131,0,Mercedes
1958,132,0,Lancia
1958,133,0,HWM
1958,134,0,Schroeder
1958,135,0,Pawl
