,name,length,gpHeld,lapRecord,lapRecordDriver,lapRecordYear
0,Bahrain International Circuit,5.412,21,1:31.447,Pedro de la Rosa,2005
1,Jeddah Corniche Circuit,6.174,2,1:30.734,Lewis Hamilton,2021
2,Albert Park Grand Prix Circuit,5.278,25,1:19.813,Charles Leclerc,2024
3,Suzuka Circuit,5.807,34,1:30.983,Lewis Hamilton,2019
4,Shanghai International Circuit,5.451,16,1:32.238,Michael Schumacher,2004
5,Miami International Autodrome,5.412,2,1:29.708,Max Verstappen,2023
6,Autodromo Enzo e Dino Ferrari,4.909,29,1:29.708,Max Verstappen,2023
7,Circuit de Monaco,3.337,68,1:12.909,,
8,Circuit Gilles Villeneuve,4.361,40,1:13.078,Valtteri Bottas,2019
9,Circuit de Barcelona-Catalunya,4.657,33,1:16.330,Max Verstappen,2023
10,Red Bull Ring,4.318,36,1:05.619,Carlos Sainz Jr.,2020
11,Silverstone Circuit,5.891,57,1:27.097,Max Verstappen,2020
12,Hungaroring,4.381,38,1:16.627,Lewis Hamilton,2021
13,Circuit de Spa-Francorchamps,7.004,55,1:46.286,Valtteri Bottas,2018
14,Circuit Park Zandvoort,4.259,34,1:11.097,Lewis Hamilton,2021
15,Autodromo Nazionale di Monza,5.793,74,1:18.887,Lewis Hamilton,2020
16,Baku City Circuit,6.003,6,1:43.009,Charles Leclerc,2019
17,Marina Bay Street Circuit,5.063,13,1:41.905,Kevin Magnussen,2018
18,Circuit of the Americas,5.513,10,1:36.169,Charles Leclerc,2019
19,Autódromo Hermanos Rodríguez,4.304,22,1:17.774,Valtteri Bottas,2021
20,Autódromo José Carlos Pace,4.309,41,1:10.540,Valtteri Bottas,2018
21,Las Vegas Strip Street Circuit,6.120,1,,,
22,Losail International Circuit,5.380,2,1:23.196,Max Verstappen,2023
23,Yas Marina Circuit,5.281,14,1:26.103,Lewis Hamilton,2019
